병원명,주소,전화번호,홈페이지URL,시도,진료과목,YKIHO,네이버플레이스URL,플레이스ID,구글검색URL
맑은피부과의원,"서울특별시 중랑구 봉화산로 194, 신아타운 709호 (신내동)",3421-7600,,서울,피부과,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNDgxMzUxIzUxIyQxIyQxIyQ3OSQzNjEwMDIjODEjJDEjJDIjJDgz,,,
맑을아 의원,"서울특별시 노원구 노해로81길 5-6, 노원스퀘어 3층 (상계동)",02-930-9302,,서울,피부과,JDQ4MTg4MSM1MSMkMiMkOCMkMDAkMzgxMzUxIzExIyQxIyQ3IyQ2MiQzNjEwMDIjNjEjJDEjJDAjJDgz,,,
망우이지함피부과의원,"서울특별시 중랑구 망우로 422, 4층 (망우동)",070-7715-2576,,서울,피부과,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNTgxOTYxIzIxIyQxIyQxIyQ5MiQyNjEwMDIjNjEjJDEjJDQjJDgz,,,
매일참사랑의원,"서울특별시 관악구 호암로22길 60, 태양빌딩 3층 (신림동)",02-883-7582,http://www.365goodmorning.co.kr,서울,피부과,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNDgxOTYxIzQxIyQyIyQ3IyQwMCQyNjE4MzIjNTEjJDEjJDIjJDgz,,,
매일튼튼의원,"서울특별시 관악구 남부순환로 1738, 제형빌딩 (봉천동)",02-888-8119,,서울,피부과,JDQ4MTg4MSM1MSMkMiMkOCMkMDAkMzgxMzUxIzExIyQxIyQzIyQ3OSQzNjEwMDIjODEjJDEjJDYjJDgz,,,
매직피부과의원,"서울특별시 강남구 테헤란로 328, 동우빌딩 4층 (역삼동)",02-3453-3114,http://www.emagicskin.com,서울,피부과,JDQ4MTg4MSM1MSMkMiMkMCMkMDAkNTgxOTYxIzUxIyQyIyQ1IyQwMCQyNjE0ODEjODEjJDEjJDYjJDgz,,,
맥스웰의원,"서울특별시 영등포구 여의나루로 61, 4층 (여의도동)",02-6930-5838,,서울,피부과,JDQ4MTg4MSM1MSMkMiMkOCMkMDAkMzgxMzUxIzMxIyQxIyQzIyQxMyQzNjEwMDIjNjEjJDEjJDgjJDgz,,,
맥스웰피부과의원,"서울특별시 강남구 테헤란로 120, 상경빌딩 10,11층 (역삼동)",02-566-5824,http://www.maxwellhair.co.kr,서울,피부과,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkMzgxNzAyIzUxIyQxIyQxIyQxMyQzNjEwMDIjODEjJDEjJDIjJDgz,,,
맥스웰피부과의원,"서울특별시 종로구 종로 33, 그랑서울 601호 일부호 (청진동)",02-6930-5824,,서울,피부과,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNTgxOTYxIzIxIyQxIyQxIyQxMyQzNjEwMDIjNTEjJDEjJDIjJDgz,,,
메디Q의원,"서울특별시 관악구 남부순환로 1591, 2층 (신림동)",02-877-5058,,서울,피부과,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNDgxOTYxIzUxIyQxIyQ1IyQ3MiQyNjE4MzIjNDEjJDEjJDQjJDgz,,,
메디라인의원,"서울특별시 서초구 서초대로 302, 교대역인앤인오피스 1001호 (서초동)",587-4466,http://cafe.daum.net/emediline,서울,피부과,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkMzgxMTkxIzIxIyQyIyQ1IyQwMCQzNjEwMDIjNzEjJDEjJDgjJDgz,,,
메디셀의원,"서울특별시 서초구 남부순환로 2646, 메디셀 플러스 의원빌딩 지하 1, 2~4층 (양재동)",02-578-7517,,서울,피부과,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNTgxOTYxIzUxIyQxIyQxIyQ3MiQyNjE0ODEjNDEjJDEjJDgjJDgz,,,
메디스캔의원,"서울특별시 서초구 강남대로 369, 에이플러스에셋타워 20층 (서초동)",02-525-5775,http://www.mediscan.co.kr,서울,피부과,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkMzgxMTkxIzIxIyQxIyQ5IyQ5OSQyNjE4MzIjNDEjJDEjJDQjJDgz,,,
메디올의원,"서울특별시 강남구 강남대로 606, 삼주빌딩 7층 3호 (논현동)",517-2198,,서울,피부과,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNDgxMzUxIzQxIyQxIyQ3IyQ3MiQzNjE4MzIjNjEjJDEjJDAjJDgz,,,
메디원의원,"서울특별시 구로구 경인로40길 12, 3층 (개봉동)",02-2611-0050,,서울,피부과,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNDgxNzAyIzMxIyQxIyQ3IyQ5OSQyNjE0ODEjNjEjJDEjJDQjJDgz,,,
메디컬오의원,"서울특별시 강남구 논현로 820, 제이씨빌딩 4층 일부호 (신사동)",02-515-1073,,서울,피부과,JDQ4MTg4MSM1MSMkMiMkOCMkMDAkMzgxMTkxIzIxIyQxIyQxIyQ4OSQzNjEyMjIjODEjJDEjJDIjJDgz,,,
메디코스의원,"서울특별시 중구 명동7가길 20, 4~5층 (을지로2가)",2118-6262,,서울,피부과,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNDgxMzUxIzExIyQxIyQ3IyQ4OSQyNjEyMjIjNjEjJDEjJDgjJDgz,,,
메디큐브의원,"서울특별시 서초구 강남대로 463, 6층 601,602호 (서초동, 리젠타워)",02-6941-1171,,서울,피부과,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNTgxMzUxIzExIyQxIyQzIyQ4MiQ0NjEwMDIjNjEjJDEjJDQjJDgz,,,
메디톡스부속의원,"서울특별시 강남구 테헤란로 626, 지하1층 (대치동, 메디톡스빌딩)",02-6901-4902,,서울,피부과,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNTgxMzUxIzExIyQxIyQzIyQ3OSQzNjEwMDIjODEjJDEjJDYjJDgz,,,
메디힐의원,"서울특별시 강남구 선릉로158길 16, 2층 (청담동)",02-511-1516,,서울,피부과,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkMzgxNzAyIzIxIyQyIyQ1IyQwMCQyNjEyMjIjODEjJDEjJDIjJDgz,,,
메리미의원,"서울특별시 강동구 구천면로 200, 2층 203호 (천호동)",02-473-0210,,서울,피부과,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNDgxOTYxIzUxIyQyIyQ1IyQwMCQzNjE0ODEjNTEjJDEjJDYjJDgz,,,
메리트피부과의원,"서울특별시 서초구 방배로 95, 서경빌딩 5층 (방배동)",3472-1181,http://www.meritskin.co.kr,서울,피부과,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNDgxOTYxIzIxIyQxIyQ1IyQ4OSQ0NjE0ODEjNTEjJDEjJDYjJDgz,,,
메이드유의원,"서울특별시 강남구 강남대로 516, 제아메디컬빌딩 2, 3, 4층 (논현동)",02-547-4711,www.madeu.co.kr/,서울,피부과,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNDgxOTYxIzMxIyQxIyQ3IyQ5MiQzNjE4MzIjODEjJDEjJDIjJDgz,,,
메이린의원,"서울특별시 영등포구 여의대로 108, 파크원 2층 (여의도동)",,,서울,피부과,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkMzgxOTYxIzMxIyQxIyQ3IyQ2MiQzNjE0ODEjNDEjJDEjJDQjJDgz,,,
메이린의원,"서울특별시 서초구 사평대로 205, 1층 (반포동)",02-733-2638,www.auradr.com,서울,피부과,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNDgxMTkxIzMxIyQxIyQ3IyQwMyQzNjEyMjIjNTEjJDEjJDIjJDgz,,,
메이린의원,"서울특별시 송파구 올림픽로 240, 롯데호텔월드 지하1층 일부호 (잠실동)",02-2143-1016,,서울,피부과,JDQ4MTg4MSM1MSMkMiMkOCMkMDAkMzgxMzUxIzExIyQxIyQ3IyQ2MiQyNjEwMDIjNDEjJDEjJDgjJDgz,,,
메이린의원,"서울특별시 성동구 아차산로 74, SHENB 타워 3층 (성수동2가)",02-6457-0101,,서울,피부과,JDQ4MTg4MSM1MSMkMiMkOCMkMDAkMzgxOTYxIzUxIyQxIyQ1IyQ4OSQ0NjE0ODEjNTEjJDEjJDYjJDgz,,,
메이린청담의원,"서울특별시 강남구 압구정로 432, 3층 (청담동)",02-3445-9103,,서울,피부과,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkMzgxNzAyIzExIyQxIyQzIyQ2MiQzNjEyMjIjODEjJDEjJDYjJDgz,,,
메이비의원,"서울특별시 양천구 목동동로 233-1, 드림타워 201,202호 (목동)",02-2655-2540,,서울,피부과,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNDgxOTYxIzUxIyQxIyQxIyQ4MiQzNjEwMDIjNzEjJDEjJDgjJDgz,,,
메이슨의원,"서울특별시 서초구 서초대로77길 39, MK빌딩 3층 (서초동)",02-534-3900,,서울,피부과,JDQ4MTg4MSM1MSMkMiMkOCMkMDAkMzgxMTkxIzIxIyQxIyQ5IyQ2MiQ0NjEwMDIjNzEjJDEjJDgjJDgz,,,
메이의원,"서울특별시 중구 명동8길 14, 3층 (명동2가)",02-2298-2312,,서울,피부과,JDQ4MTg4MSM1MSMkMiMkOCMkMDAkMzgxOTYxIzIxIyQxIyQxIyQ3MiQ0NjEwMDIjNjEjJDEjJDgjJDgz,,,
메이저피부과의원,"서울특별시 성북구 동소문로 89, 지상4층 (동소문동6가, 보미리즌빌)",02-927-1925,http://majorskin.co.kr,서울,피부과,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkMzgxMTkxIzQxIyQxIyQ3IyQ3OSQzNjE4MzIjNzEjJDEjJDgjJDgz,,,
메이저피부과의원 신촌점,"서울특별시 서대문구 연세로 8-1, 4층 (창천동)",02-392-7582,http://majorskin.co.kr,서울,피부과,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNDgxOTYxIzIxIyQxIyQ5IyQ2MiQzNjE0ODEjODEjJDEjJDYjJDgz,,,
메이퓨어의원,"서울특별시 성북구 동소문로 314, 부영빌딩 4층 (하월곡동)",02-941-2746,,서울,피부과,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNDgxNzAyIzUxIyQxIyQxIyQ2MiQzNjEwMDIjNTEjJDEjJDYjJDgz,,,
메이퓨어의원,"서울특별시 강남구 광평로 280, 지하2층 108호 (수서동, 로즈데일오피스텔)",02-451-9960,,서울,피부과,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNDgxNzAyIzUxIyQxIyQ1IyQ4MiQ0NjE0ODEjODEjJDEjJDYjJDgz,,,
메이퓨어의원,"서울특별시 강동구 올림픽로 626, 2층 (성내동, 두성빌딩)",02-472-9969,,서울,피부과,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNTgxMzUxIzIxIyQxIyQ1IyQwMyQyNjE0ODEjNjEjJDEjJDQjJDgz,,,
메이퓨어의원,"서울특별시 영등포구 영중로3길 11, 2층 (영등포동4가)",02-2678-9799,,서울,피부과,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNTgxMzUxIzMxIyQyIyQzIyQwMCQyNjE4MzIjNjEjJDEjJDgjJDgz,,,
메이퓨어의원,"서울특별시 양천구 목동동로 293, 현대41타워 지하1층 B-01-2호 (목동)",02-2649-9960,,서울,피부과,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNTgxOTYxIzIxIyQxIyQ1IyQ4MiQyNjEwMDIjNjEjJDEjJDAjJDgz,,,
메이퓨어의원,"서울특별시 성동구 왕십리로 326, 세신빌딩 14층 (도선동)",02-2296-5628,,서울,피부과,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNTgxOTYxIzIxIyQxIyQ1IyQ5MiQzNjEyMjIjNTEjJDEjJDIjJDgz,,,
메이퓨어의원,"서울특별시 송파구 송파대로 438, 4층 (송파동)",02-423-6601,,서울,피부과,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNTgxOTYxIzIxIyQxIyQ1IyQwMyQyNjEwMDIjODEjJDEjJDYjJDgz,,,
메이퓨어의원,"서울특별시 마포구 월드컵북로2길 57, 5층 501호 (동교동)",02-3141-9979,,서울,피부과,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNTgxOTYxIzMxIyQxIyQzIyQ5OSQzNjE4MzIjNzEjJDEjJDgjJDgz,,,
메이퓨어의원,"서울특별시 광진구 자양로 109, 3층 301, 302호 (자양동)",02-456-7737,,서울,피부과,JDQ4MTg4MSM1MSMkMiMkOCMkMDAkMzgxOTYxIzIxIyQxIyQ1IyQ4MiQyNjEyMjIjNTEjJDEjJDIjJDgz,,,
메이퓨어의원,"서울특별시 노원구 중계로 201, 오성프라자 4층 (중계동)",0000-0000,,서울,피부과,JDQ4MTg4MSM1MSMkMiMkOCMkMDAkMzgxOTYxIzMxIyQxIyQzIyQ5OSQyNjEwMDIjODEjJDEjJDIjJDgz,,,
메이퓨어의원,"서울특별시 중구 세종대로11길 42, 부림빌딩 501,502호 (서소문동)",02-774-7774,,서울,피부과,JDQ4MTg4MSM1MSMkMiMkOCMkMDAkMzgxMTkxIzExIyQxIyQ3IyQ5MiQzNjE4MzIjNTEjJDEjJDYjJDgz,,,
메이퓨어의원,"서울특별시 금천구 벚꽃로 286, 삼성리더스타워 2층 210~211호 (가산동)",02-868-2009,,서울,피부과,JDQ4MTg4MSM1MSMkMiMkOCMkMDAkMzgxMTkxIzIxIyQxIyQ5IyQwMyQzNjEyMjIjNDEjJDEjJDgjJDgz,,,
메이퓨어의원마포공덕점,"서울특별시 마포구 마포대로 68, 지하1층 B05,B06(일부)호 (도화동, 마포아크로타워)",02-714-4479,,서울,피부과,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNTgxOTYxIzQxIyQxIyQ3IyQ4MiQzNjE0ODEjNjEjJDEjJDAjJDgz,,,
메이필의원,"서울특별시 서초구 강남대로 423, 한승빌딩 8층 (서초동)",02-3221-2373,,서울,피부과,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNTgxOTYxIzIxIyQxIyQ5IyQ5OSQ0NjEwMDIjNzEjJDEjJDgjJDgz,,,
메종드엠의원,"서울특별시 서초구 강남대로 433, 3, 4층 (서초동)",02-533-7001,https://mdem.co.kr,서울,피부과,JDQ4MTg4MSM1MSMkMiMkOCMkMDAkMzgxMzUxIzUxIyQxIyQxIyQxMyQzNjE0ODEjNzEjJDEjJDgjJDgz,,,
메종프리베의원,"서울특별시 강남구 논현로158길 6, 2~5층 (신사동)",02-515-9889,http://www.drosclinic.com/new2012,서울,피부과,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkMzgxOTYxIzExIyQxIyQ3IyQ4MiQzNjEyMjIjODEjJDEjJDYjJDgz,,,
메티의원,"서울특별시 서초구 강남대로 527, 브랜드칸 타워 12층 (반포동)",02-3442-3330,http://www.meticlinic.com,서울,피부과,JDQ4MTg4MSM1MSMkMiMkOCMkMDAkMzgxOTYxIzIxIyQxIyQxIyQwMyQzNjE0ODEjNzEjJDEjJDgjJDgz,,,
멘드의원,"서울특별시 용산구 독서당로 70, 현대리버티하우스 305호 (한남동)",02-595-5110,,서울,피부과,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNTgxMzUxIzUxIyQyIyQxIyQwMCQ0NjE0ODEjNjEjJDEjJDgjJDgz,,,
멘토의원,"서울특별시 강남구 삼성로 314, (대치동, 보양빌딩 5층일부)",02-552-4080,http://www.mentorclinic.co.kr/,서울,피부과,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkMzgxNzAyIzExIyQxIyQ3IyQ4OSQ0NjEwMDIjODEjJDEjJDIjJDgz,,,
멜로우피부과의원,"서울특별시 도봉구 마들로13길 61, B103-2호, 301-3호 (창동)",02-6077-8811,,서울,피부과,JDQ4MTg4MSM1MSMkMiMkOCMkMDAkMzgxOTYxIzExIyQxIyQ3IyQwMyQyNjE4MzIjNTEjJDEjJDIjJDgz,,,
멜로우피부과의원,"서울특별시 강남구 도산대로 429, 2,3층 (청담동)",02-6448-5404,,서울,피부과,JDQ4MTg4MSM1MSMkMiMkOCMkMDAkMzgxOTYxIzMxIyQxIyQ3IyQ4OSQzNjE4MzIjNjEjJDEjJDgjJDgz,,,
멜로우피부과의원,"서울특별시 영등포구 가마산로 496, JS타워 201, 202호 (신길동)",02-848-8441,,서울,피부과,JDQ4MTg4MSM1MSMkMiMkOCMkMDAkMzgxOTYxIzUxIyQyIyQxIyQwMCQzNjE0ODEjODEjJDEjJDYjJDgz,,,
멜로우피부과의원,"서울특별시 강동구 천호대로 1024, 힐스테이트 천호역 젠트리스 4층 401~405, 439호 (성내동)",02-487-8733,https://doctormellow-ch.com,서울,피부과,JDQ4MTg4MSM1MSMkMiMkOCMkMDAkMzgxOTYxIzUxIyQxIyQxIyQ5MiQyNjE0ODEjNjEjJDEjJDQjJDgz,,,
명동2호점데이뷰의원,"서울특별시 중구 남대문로 84, 지하1층 (남대문로2가)",02-6261-4090,,서울,피부과,JDQ4MTg4MSM1MSMkMiMkOCMkMDAkMzgxMTkxIzIxIyQxIyQ5IyQ3OSQyNjE0ODEjNjEjJDEjJDAjJDgz,,,
명동2호점밴스의원,"서울특별시 중구 퇴계로 109, 4,5,7층 (충무로1가)",02-6956-5113,,서울,피부과,JDQ4MTg4MSM1MSMkMiMkOCMkMDAkMzgxOTYxIzUxIyQxIyQ1IyQ3OSQzNjE4MzIjODEjJDEjJDIjJDgz,,,
명동고운세상피부과의원,"서울특별시 중구 퇴계로 131, 3층 308~311호 (충무로2가, 신일빌딩)",02-755-5411,http://www.beautyforever.co.kr,서울,피부과,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkMzgxOTYxIzExIyQxIyQ3IyQ3OSQ0NjE0ODEjNDEjJDEjJDgjJDgz,,,
명동닥터에버스의원,"서울특별시 중구 퇴계로 131, 신일빌딩 5,6층 (충무로2가)",02-318-2010,,서울,피부과,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNTgxOTYxIzExIyQxIyQ3IyQ4OSQzNjEyMjIjNjEjJDEjJDgjJDgz,,,
명동라라의원,"서울특별시 중구 남대문로 68, 5층 (명동2가)",02-318-7944,,서울,피부과,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNTgxMzUxIzMxIyQxIyQzIyQ5MiQzNjEwMDIjNDEjJDEjJDgjJDgz,,,
명동리더스피부과의원,"서울특별시 중구 퇴계로 72, 지하1층 116호 (회현동1가, 리더스뷰남산)",02-6677-1945,http://www.beautyleader.co.kr,서울,피부과,JDQ4MTg4MSM1MSMkMiMkMCMkMDAkNTgxOTYxIzMxIyQxIyQ3IyQ5OSQ0NjEwMDIjNjEjJDEjJDgjJDgz,,,
명동리베리의원,"서울특별시 중구 명동10길 58, 신일빌딩별관 201,301호 (충무로2가)",02-2088-7070,,서울,피부과,JDQ4MTg4MSM1MSMkMiMkOCMkMDAkMzgxOTYxIzUxIyQxIyQ1IyQ4MiQzNjEyMjIjNTEjJDEjJDYjJDgz,,,
명동미래셀의원,"서울특별시 중구 퇴계로 123, 하이헤리엇 7층 (충무로2가)",02-,,서울,피부과,JDQ4MTg4MSM1MSMkMiMkMCMkMDAkNTgxOTYxIzIxIyQxIyQ1IyQxMyQzNjE0ODEjNzEjJDEjJDgjJDgz,,,
명동미소유의원,"서울특별시 중구 퇴계로 45, 남일물산 203호 (남창동)",02-776-0406,,서울,피부과,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNDgxMTkxIzIxIyQxIyQ5IyQ3MiQzNjE0ODEjNDEjJDEjJDgjJDgz,,,
명동벤자민피부과의원,"서울특별시 중구 남대문로 90, 세미콜론명동 15층 (남대문로2가)",02-6272-7007,https://benjaminclinicmd.com,서울,피부과,JDQ4MTg4MSM1MSMkMiMkOCMkMDAkMzgxMTkxIzMxIyQxIyQzIyQ4OSQyNjE0ODEjODEjJDEjJDIjJDgz,,,
명동뷰티온의원,"서울특별시 중구 남대문로 90, 세미콜론명동 16층 (남대문로2가)",02-6956-7255,,서울,피부과,JDQ4MTg4MSM1MSMkMiMkOCMkMDAkMzgxOTYxIzMxIyQxIyQzIyQwMyQzNjE4MzIjNDEjJDEjJDgjJDgz,,,
명동아이디의원,"서울특별시 중구 남대문로 90, 세미콜론명동 18,19층 (남대문로2가)",02-2088-8678,,서울,피부과,JDQ4MTg4MSM1MSMkMiMkOCMkMDAkMzgxMzUxIzUxIyQxIyQ1IyQ5OSQ0NjE0ODEjNjEjJDEjJDQjJDgz,,,
명동플랜에스의원,"서울특별시 중구 명동8나길 7, 3~5층 (충무로1가)",1877-3608,,서울,피부과,JDQ4MTg4MSM1MSMkMiMkOCMkMDAkMzgxMTkxIzIxIyQxIyQ5IyQ5OSQyNjEwMDIjNzEjJDEjJDgjJDgz,,,
명성김주형의원,"서울특별시 강동구 상암로 334, (명일동)",02-429-0123,,서울,피부과,JDQ4MTg4MSM1MSMkMiMkMCMkMDAkNTgxOTYxIzIxIyQxIyQxIyQ3MiQzNjEyMjIjODEjJDEjJDIjJDgz,,,
명성의원,"서울특별시 송파구 마천로 30, 201호 (방이동, 코오롱아파트 A상가 )",02-412-3567,,서울,피부과,JDQ4MTg4MSM1MSMkMiMkMCMkMDAkMzgxNzAyIzIxIyQxIyQ1IyQ4OSQzNjE4MzIjNDEjJDEjJDgjJDgz,,,
모건휴먼피부과의원,"서울특별시 강남구 논현로 841, (신사동, JB 미소빌딩 511호)",02-511-5859,,서울,피부과,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNDgxNzAyIzExIyQxIyQzIyQ5MiQzNjE4MzIjNDEjJDEjJDgjJDgz,,,
모나라피부과의원,"서울특별시 강남구 논현로171길 15, 카로시티1 5층 503-506호 (신사동)",02-6956-9115,,서울,피부과,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNTgxMzUxIzIxIyQxIyQ5IyQ3OSQyNjEyMjIjNDEjJDEjJDQjJDgz,,,
모내가의원,"서울특별시 송파구 석촌호수로 82, 2층 202호 (잠실동)",02-441-5353,,서울,피부과,JDQ4MTg4MSM1MSMkMiMkMCMkMDAkMzgxMTkxIzIxIyQxIyQ5IyQxMyQzNjEwMDIjNTEjJDEjJDYjJDgz,,,
모다올의원,"서울특별시 강남구 논현로 809, 강석빌딩 3층,4층 (신사동)",02-6481-0010,,서울,피부과,JDQ4MTg4MSM1MSMkMiMkOCMkMDAkMzgxMzUxIzMxIyQxIyQ3IyQxMyQzNjE0ODEjNjEjJDEjJDAjJDgz,,,
모더함의원,"서울특별시 강남구 압구정로28길 19, 한익빌딩 3층 (신사동)",02-2038-2412,,서울,피부과,JDQ4MTg4MSM1MSMkMiMkOCMkMDAkMzgxMzUxIzExIyQxIyQ3IyQxMyQyNjE0ODEjNDEjJDEjJDQjJDgz,,,
모던스탠다드의원,"서울특별시 강남구 강남대로 458, 남영빌딩 3, 4층 (역삼동)",02-6232-5732,https://modern-standard.co.kr,서울,피부과,JDQ4MTg4MSM1MSMkMiMkOCMkMDAkMzgxOTYxIzQxIyQxIyQ3IyQ2MiQyNjEyMjIjNTEjJDEjJDYjJDgz,,,
모델라인의원,"서울특별시 강남구 봉은사로 218, KH타워 4~5층 (역삼동)",1899-4969,,서울,피부과,JDQ4MTg4MSM1MSMkMiMkOCMkMDAkMzgxOTYxIzMxIyQxIyQzIyQ2MiQyNjE4MzIjODEjJDEjJDYjJDgz,,,
모델로피부과의원,"서울특별시 강남구 압구정로60길 21, 분더샵 청담A N관 5층 (청담동)",02-591-5851,http://www.modelo.co.kr,서울,피부과,JDQ4MTg4MSM1MSMkMiMkMCMkMDAkNTgxOTYxIzQxIyQxIyQ3IyQwMyQzNjE4MzIjNDEjJDEjJDQjJDgz,,,
모두모의원,"서울특별시 강남구 강남대로 584, 성일빌딩 5층 (논현동)",02-591-9559,,서울,피부과,JDQ4MTg4MSM1MSMkMiMkOCMkMDAkMzgxOTYxIzExIyQxIyQ3IyQ3OSQ0NjE0ODEjNjEjJDEjJDQjJDgz,,,
모든모의원,"서울특별시 강남구 논현로151길 57, 2~4층 (신사동)",02-544-3666,,서울,피부과,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNTgxMzUxIzIxIyQxIyQ5IyQ2MiQyNjEwMDIjNDEjJDEjJDgjJDgz,,,
모디헤어플란트의원,"서울특별시 서초구 강남대로91길 13, 1~4층 (잠원동)",02-544-8659,,서울,피부과,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNTgxOTYxIzExIyQxIyQzIyQ5OSQ0NjE0ODEjNTEjJDEjJDYjJDgz,,,
모래시계의원,"서울특별시 서초구 강남대로 487, 원빌딩 5,6층 (반포동)",02-574-8007,,서울,피부과,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNDgxMTkxIzExIyQxIyQzIyQxMyQ0NjEwMDIjNjEjJDEjJDgjJDgz,,,
모리스의원,"서울특별시 강남구 강남대로 378, 준빌딩 9,11층 (역삼동)",02-555-6231,,서울,피부과,JDQ4MTg4MSM1MSMkMiMkOCMkMDAkMzgxOTYxIzUxIyQxIyQxIyQ4OSQ0NjEwMDIjNjEjJDEjJDQjJDgz,,,
모리의원,"서울특별시 강남구 선릉로 431, 에스케이허브오피스텔 301,302,303호 (역삼동)",02-562-8878,http://www.clicktalmo.com,서울,피부과,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkMzgxNzAyIzUxIyQyIyQ1IyQwMCQzNjE4MzIjNzEjJDEjJDgjJDgz,,,
모리치피부과의원,"서울특별시 강남구 논현로175길 6, 2층 (신사동)",02-518-6888,http://richhair.com/,서울,피부과,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkMzgxMzUxIzIxIyQxIyQ1IyQwMyQyNjE0ODEjNDEjJDEjJDgjJDgz,,,
모먼트의원,"서울특별시 서초구 강남대로 423, 한승빌딩 9층 (서초동)",02-532-5827,,서울,피부과,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNTgxMzUxIzIxIyQxIyQ1IyQ3MiQyNjEyMjIjNDEjJDEjJDQjJDgz,,,
모멘텀헤어라인의원,"서울특별시 강남구 테헤란로 339, 선릉빌딩 10층 (역삼동)",,,서울,피부과,JDQ4MTg4MSM1MSMkMiMkOCMkMDAkMzgxOTYxIzIxIyQxIyQ5IyQ5MiQyNjE4MzIjNjEjJDEjJDAjJDgz,,,
모믈88의원,"서울특별시 마포구 신촌로16길 34, 2층 (노고산동)",02-325-4088,,서울,피부과,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkMzgxMzUxIzUxIyQxIyQ1IyQ3MiQ0NjE0ODEjNTEjJDEjJDYjJDgz,,,
모바름미작의원,"서울특별시 서초구 강남대로 589, 멀버리힐즈 제1동 1101호 (잠원동)",0507-1376-2444,,서울,피부과,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNTgxMzUxIzQxIyQxIyQ3IyQxMyQ0NjEwMDIjNDEjJDEjJDgjJDgz,,,
모빈치의원,"서울특별시 강남구 압구정로 152, B동 303호 (신사동, 극동스포츠빌딩)",02-1600-6220,,서울,피부과,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNDgxMTkxIzUxIyQxIyQxIyQ4OSQzNjEwMDIjNjEjJDEjJDgjJDgz,,,
모션의원,"서울특별시 서초구 강남대로 423, 10층 (서초동)",02-533-5882,,서울,피부과,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNDgxNzAyIzMxIyQxIyQ3IyQ4OSQzNjE4MzIjNjEjJDEjJDQjJDgz,,,
모아만의원,"서울특별시 강남구 도산대로 110, 케이비엘 센터 8층 (논현동)",02-543-0033,,서울,피부과,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNDgxMTkxIzIxIyQxIyQxIyQ3MiQ0NjEwMDIjNDEjJDEjJDQjJDgz,,,
